nom,date,security_fr
Bunia,07-06-2026,"Incident : Une équipe du SDB attaquée par des personnes non identifiées au cimetière de Nyamurongo. Bilan : 2 personnes grièvement blessées et 2 véhicules endommagés. Situation sécuritaire relativement calme. Cependant, la présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa continue de limiter l'accès humanitaire dans plusieurs zones de santé touchées ou à risque."
Rwampara,07-06-2026,"Situation sécuritaire relativement calme. Cependant, la présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa continue de limiter l'accès humanitaire dans plusieurs zones de santé touchées ou à risque."
Bunia,08-06-2026,"La situation sécuritaire dans la ville de Bunia (zones de santé de Bunia et Rwampara) est relativement calme. Cependant, la présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa continue de limiter l'accès humanitaire dans plusieurs zones sanitaires touchées ou à risque."
Bunia,09-06-2026,"Situation relativement calme à Bunia et Rwampara. Des groupes armés à Djugu, Irumu et Mambasa limitent l'accès humanitaire."
Rwampara,09-06-2026,"Situation relativement calme à Bunia et Rwampara. Des groupes armés à Djugu, Irumu et Mambasa limitent l'accès humanitaire."
Bunia,11-06-2026,"Situation relativement calme à Bunia et Rwampara. Des groupes armés à Djugu, Irumu et Mambasa limitent l'accès humanitaire."
Rwampara,11-06-2026,"Situation relativement calme à Bunia et Rwampara. Des groupes armés à Djugu, Irumu et Mambasa limitent l'accès humanitaire."
Bunia,15-06-2026,Appui au renforcement de la sécurité transfusionnelle (équipements et matériels CNTS livrés par l'OMS). Suivi du déploiement des médicaments (UG-PDSS et MEMISA Belgique). Situation sécuritaire calme mais imprévisible à Bunia et ses environs.
Mongbwalu,15-06-2026,Incident : équipe EDS attaquée dans la zone de santé PLUTO. Le SDB a été réalisé après l’intervention des forces de sécurité. Aucune victime n'a été signalée.
Bunia,16-06-2026,La situation sécuritaire reste calme mais imprévisible à Bunia et dans ses environs.
Bunia,18-06-2026,La situation sécuritaire reste calme mais imprévisible à Bunia et dans ses environs.
Bunia,19-06-2026,La situation sécuritaire reste calme mais imprévisible à Bunia et dans ses environs.
Bunia,23-06-2026,"Situation sécuritaire calme mais imprévisible à Bunia et environs."
Bunia,24-06-2026,"La situation sécuritaire reste calme mais imprévisible à Bunia et environs."
Bunia,25-06-2026,"La situation sécuritaire reste calme mais imprévisible à Bunia et environs."
Bunia,27-06-2026,"La situation sécuritaire reste calme mais imprévisible à Bunia et environs."
Bunia,29-06-2026,"La situation sécuritaire reste calme mais imprévisible à Bunia et environs. Incident : le PoC en construction à Miala (entrée nord de Bunia) a été incendié dans la nuit du 28 au 29 juin par des personnes non identifiées."
Bunia,30-06-2026,"La situation sécuritaire reste calme mais imprévisible à Bunia et environs."
Bunia,02-07-2026,"La situation sécuritaire reste calme mais imprévisible à Bunia et environs. L'incident survenu au PK51 (Nia-Nia) a freiné les activités programmées. Le renforcement du dialogue avec les autorités locales, les leaders communautaires et les services de sécurité demeure prioritaire."
Bunia,03-07-2026,"La situation sécuritaire reste calme mais imprévisible à Bunia et environs. Acte de vandalisme au PoC Irumu Centre par des personnes non identifiées suite à l'arrestation de l'un des leurs par le service de sécurité."
Bunia,04-07-2026,"La situation sécuritaire reste calme mais imprévisible à Bunia et environs. Incident: équipe PCI attaquée et véhicule lapidé lors de la décontamination du CMC Kiharo (AS Rughenda).
Bunia,07-07-2026,"Poursuite de la grève des prestataires des zones de santé de Bunia et Rwampara en Ituri."
Bunia,09-07-2026,"Poursuite de la grève des prestataires des zones de santé de Bunia et Rwampara en Ituri. Supervision au PoC Kasitu sur les mesures de prévention et le screening. Briefing des éléments PNC au CTE Kitatumba sur le respect des mesures barrières. Aucun nouvel incident sécuritaire majeur rapporté."
Nia-Nia,10-07-2026,"PoC d'Avakubi (AS Bafwanduo) vandalisé par des personnes non identifiées. Médecin Chef de Nia-Nia a plaidé pour la sécurisation de PK51 (centre de santé saccagé pour la deuxième fois) pour permettre la reprise des activités de riposte et EDS."
Bunia,10-07-2026,"PoC Mudzibala : menaces contre les prestataires après transfert d'un adolescent au CTE. Refus du screening/lavage des mains par certains humanitaires et militaires."
